2026-07-06 21:44:51 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-07-06 21:44:51 [main] INFO  c.c.gateway.ApiGatewayApplication - Starting ApiGatewayApplication using Java 21.0.11 with PID 3816 (C:\Users\Harishraj\Downloads\civicDesk\api-gateway\target\classes started by Harishraj in C:\Users\Harishraj\Downloads\civicDesk)
2026-07-06 21:44:51 [main] INFO  c.c.gateway.ApiGatewayApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-06 21:44:53 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e5eb0134-8f0d-3750-b411-d859af6998f0
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [After]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Before]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Between]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Cookie]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Header]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Host]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Method]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Path]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Query]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [ReadBody]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [RemoteAddr]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Weight]
2026-07-06 21:44:54 [main] INFO  o.s.c.g.r.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2026-07-06 21:44:54 [main] INFO  o.s.b.w.e.netty.NettyWebServer - Netty started on port 9090
2026-07-06 21:44:54 [main] INFO  c.c.gateway.ApiGatewayApplication - Started ApiGatewayApplication in 3.557 seconds (process running for 3.925)
