2026-06-18 08:57:12 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-18 08:57:12 [main] INFO  c.c.g.GrievanceServiceApplication - Starting GrievanceServiceApplication using Java 21.0.2 with PID 31576 (C:\Users\2506602\Downloads\civicdesk (1)\grievance-service\target\classes started by 2506602 in C:\Users\2506602\Downloads\civicdesk (1))
2026-06-18 08:57:12 [main] INFO  c.c.g.GrievanceServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-18 08:57:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-18 08:57:14 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 80 ms. Found 2 JPA repository interfaces.
2026-06-18 08:57:15 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8085 (http)
2026-06-18 08:57:15 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2026-06-18 08:57:15 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-18 08:57:15 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-18 08:57:15 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-18 08:57:15 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2551 ms
2026-06-18 08:57:15 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-18 08:57:15 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-06-18 08:57:15 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-18 08:57:16 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-18 08:57:16 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
